measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,East Sussex,Female,30 to 34,Years,1993,51.73644932,52.1671886,51.31404537
Life expectancy,East Sussex,Both,30 to 34,Years,1993,49.48643367,49.80852929,49.14463309
Life expectancy,East Sussex,Male,35 to 39,Years,1993,42.18250737,42.6743372,41.70223827
Life expectancy,East Sussex,Female,35 to 39,Years,1993,46.88821205,47.31103941,46.47407899
Life expectancy,East Sussex,Both,35 to 39,Years,1993,44.71052595,45.02725946,44.37464454
Life expectancy,East Sussex,Male,40 to 44,Years,1993,37.45370073,37.93612574,36.98289356
Life expectancy,East Sussex,Female,40 to 44,Years,1993,42.08249097,42.4953379,41.6785867
Life expectancy,East Sussex,Both,40 to 44,Years,1993,39.94528941,40.25570181,39.61653219
Life expectancy,East Sussex,Male,45 to 49,Years,1993,32.78244319,33.25153927,32.32493613
Life expectancy,East Sussex,Female,45 to 49,Years,1993,37.33424023,37.73445639,36.94295453
Life expectancy,East Sussex,Both,45 to 49,Years,1993,35.2389392,35.54064689,34.91983455
Life expectancy,East Sussex,Male,50 to 54,Years,1993,28.17822442,28.6291809,27.73903181
Life expectancy,East Sussex,Female,50 to 54,Years,1993,32.65186188,33.03646789,32.27592141
Life expectancy,East Sussex,Both,50 to 54,Years,1993,30.60149757,30.89127802,30.2952101
Life expectancy,East Sussex,Male,55 to 59,Years,1993,23.77858794,24.20222762,23.36671222
Life expectancy,East Sussex,Female,55 to 59,Years,1993,28.09275428,28.45610962,27.73758148
Life expectancy,East Sussex,Both,55 to 59,Years,1993,26.13284101,26.40630976,25.84507573
Life expectancy,East Sussex,Male,60 to 64,Years,1993,19.66615029,20.05008957,19.29294227
Life expectancy,East Sussex,Female,60 to 64,Years,1993,23.71847616,24.05356981,23.39133656
Life expectancy,East Sussex,Both,60 to 64,Years,1993,21.90579701,22.15620693,21.64301305
Life expectancy,East Sussex,Male,65 to 69,Years,1993,15.8124077,16.1523696,15.48161521
Life expectancy,East Sussex,Female,65 to 69,Years,1993,19.46625252,19.77168313,19.16828081
Life expectancy,East Sussex,Both,65 to 69,Years,1993,17.86721084,18.09224088,17.63096996
Life expectancy,East Sussex,Male,70 to 74,Years,1993,12.45681878,12.74287703,12.18008695
Life expectancy,East Sussex,Female,70 to 74,Years,1993,15.50231698,15.77406186,15.23743703
Life expectancy,East Sussex,Both,70 to 74,Years,1993,14.22280975,14.41815059,14.01804772
Life expectancy,East Sussex,Male,75 to 79,Years,1993,9.597428953,9.82159775,9.381771317
Life expectancy,East Sussex,Female,75 to 79,Years,1993,11.99255812,12.22234432,11.76911933
Life expectancy,East Sussex,Both,75 to 79,Years,1993,11.05452043,11.21371438,10.88937162
Life expectancy,East Sussex,Male,<1 year,Years,1993,75.58313093,76.09038542,75.08539361
Life expectancy,East Sussex,Female,<1 year,Years,1993,80.75744173,81.2111048,80.31672912
Life expectancy,East Sussex,Both,<1 year,Years,1993,78.33578918,78.6686921,77.99100143
Life expectancy,East Sussex,Male,80 to 84,Years,1993,7.076723192,7.242079792,6.919058281
Life expectancy,East Sussex,Female,80 to 84,Years,1993,8.767743566,8.954012279,8.587416499
Life expectancy,East Sussex,Both,80 to 84,Years,1993,8.175491761,8.30174426,8.044913524
Life expectancy,East Sussex,Male,85 to 89,Years,1993,5.065058778,5.175442001,4.960235787
Life expectancy,East Sussex,Female,85 to 89,Years,1993,6.197591562,6.342949423,6.05718646
Life expectancy,East Sussex,Both,85 to 89,Years,1993,5.858378593,5.957942818,5.753448937
Life expectancy,East Sussex,Male,90 to 94,Years,1993,3.552645915,3.629397719,3.480284645
Life expectancy,East Sussex,Female,90 to 94,Years,1993,4.300153954,4.400052528,4.203324349
Life expectancy,East Sussex,Both,90 to 94,Years,1993,4.123006413,4.198969881,4.047483103
Life expectancy,Portsmouth,Male,1 to 4,Years,1993,71.90474745,72.44497947,71.38745324
Life expectancy,Portsmouth,Female,1 to 4,Years,1993,78.23788803,78.85600855,77.60704964
Life expectancy,Portsmouth,Both,1 to 4,Years,1993,75.08308581,75.48581229,74.66923923
Life expectancy,Portsmouth,Male,5 to 9,Years,1993,68.00040728,68.5442975,67.48558365
Life expectancy,Portsmouth,Female,5 to 9,Years,1993,74.32128825,74.93822584,73.68720521
